account_id,account_name,region,type,resource_id,cidr,parent_id,az_id,name,state,primary,association_id,observed_at
100000000000,prod-application-001,eu-central-1,vpc,vpc-00000000000000001,10.20.0.0/22,,,prod-application-001-eu-central-1,available,true,vpc-cidr-assoc-00000000000000001,2026-09-24T10:00:00Z
100000000000,prod-application-001,eu-central-1,subnet,subnet-00000000000000001,10.20.0.0/24,vpc-00000000000000001,eu-central-1a,prod-application-001-app-a,available,,,2026-09-24T10:00:00Z
100000000000,prod-application-001,eu-west-1,vpc,vpc-00000000000000002,10.100.4.0/22,,,prod-application-001-eu-west-1,available,true,vpc-cidr-assoc-00000000000000002,2026-09-24T10:00:00Z
100000000000,prod-application-001,us-east-1,vpc,vpc-00000000000000003,10.100.8.0/22,,,prod-application-001-us-east-1,available,true,vpc-cidr-assoc-00000000000000003,2026-09-24T10:00:00Z
100000000001,nonprod-application-002,eu-central-1,vpc,vpc-00000000000000004,10.20.0.0/22,,,nonprod-application-002-eu-central-1,available,true,vpc-cidr-assoc-00000000000000004,2026-09-24T10:00:00Z
100000000001,nonprod-application-002,eu-west-1,vpc,vpc-00000000000000005,10.100.16.0/22,,,nonprod-application-002-eu-west-1,available,true,vpc-cidr-assoc-00000000000000005,2026-09-24T10:00:00Z
100000000001,nonprod-application-002,us-east-1,vpc,vpc-00000000000000006,10.100.20.0/22,,,nonprod-application-002-us-east-1,available,true,vpc-cidr-assoc-00000000000000006,2026-09-24T10:00:00Z
100000000002,prod-application-003,eu-central-1,vpc,vpc-00000000000000007,10.100.24.0/22,,,prod-application-003-eu-central-1,available,true,vpc-cidr-assoc-00000000000000007,2026-09-24T10:00:00Z
100000000002,prod-application-003,eu-west-1,vpc,vpc-00000000000000008,10.32.0.0/22,,,prod-application-003-eu-west-1,available,true,vpc-cidr-assoc-00000000000000008,2026-09-24T10:00:00Z
100000000002,prod-application-003,us-east-1,vpc,vpc-00000000000000009,10.100.32.0/22,,,prod-application-003-us-east-1,available,true,vpc-cidr-assoc-00000000000000009,2026-09-24T10:00:00Z
100000000003,nonprod-application-004,eu-central-1,vpc,vpc-0000000000000000a,10.100.36.0/22,,,nonprod-application-004-eu-central-1,available,true,vpc-cidr-assoc-0000000000000000a,2026-09-24T10:00:00Z
100000000003,nonprod-application-004,eu-west-1,vpc,vpc-0000000000000000b,10.32.1.0/24,,,nonprod-application-004-eu-west-1,available,true,vpc-cidr-assoc-0000000000000000b,2026-09-24T10:00:00Z
100000000003,nonprod-application-004,us-east-1,vpc,vpc-0000000000000000c,10.100.44.0/22,,,nonprod-application-004-us-east-1,available,true,vpc-cidr-assoc-0000000000000000c,2026-09-24T10:00:00Z
100000000004,prod-application-005,eu-central-1,vpc,vpc-0000000000000000d,10.100.48.0/22,,,prod-application-005-eu-central-1,available,true,vpc-cidr-assoc-0000000000000000d,2026-09-24T10:00:00Z
100000000004,prod-application-005,eu-central-1,subnet,subnet-0000000000000000d,10.100.48.0/24,vpc-0000000000000000d,eu-central-1a,prod-application-005-app-a,available,,,2026-09-24T10:00:00Z
100000000004,prod-application-005,eu-west-1,vpc,vpc-0000000000000000e,10.100.52.0/22,,,prod-application-005-eu-west-1,available,true,vpc-cidr-assoc-0000000000000000e,2026-09-24T10:00:00Z
100000000004,prod-application-005,us-east-1,vpc,vpc-0000000000000000f,10.42.0.0/22,,,prod-application-005-us-east-1,available,true,vpc-cidr-assoc-0000000000000000f,2026-09-24T10:00:00Z
100000000005,nonprod-application-006,eu-central-1,vpc,vpc-00000000000000010,10.100.60.0/22,,,nonprod-application-006-eu-central-1,available,true,vpc-cidr-assoc-00000000000000010,2026-09-24T10:00:00Z
100000000005,nonprod-application-006,eu-west-1,vpc,vpc-00000000000000011,10.100.64.0/22,,,nonprod-application-006-eu-west-1,available,true,vpc-cidr-assoc-00000000000000011,2026-09-24T10:00:00Z
